year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
1999,369030,642793,69385,42040,408353,206366,130592,71696,89273,44060,42515,2692,4222161146.0,7391464.4
2009,155808,444337,61655,48012,272948,147498,85918,39805,68699,39042,25960,3484,4206204122.0,8438834.5
2019,69110,376008,85343,69036,197153,110108,57670,29686,96234,57209,28970,9965,6227247164.0,11322295.2
