year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
1999,9988,19180,2242,1219,12046,6672,3616,1764,4694,2921,1698,66,250530451.0,338578.89999999997
2009,3549,11872,1486,1015,6863,4008,1939,914,3417,2464,896,52,307604072.0,392441.4
2019,1283,8744,2097,1401,4313,2688,1098,530,5213,3634,1000,570,313163977.0,488051.6
