year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
1999,149871,255501,24646,15385,174396,81799,52927,39828,29759,12196,16418,1117,1103821640.0,3819703.7
2009,69131,187486,24997,20503,127171,65740,40079,21488,21011,9802,10120,915,927683925.0,3622406.4
2019,31554,161233,35410,29521,93420,50102,28189,15293,26097,12557,11176,2288,1312536067.0,4996511.4
