NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
16B100505,100505,PÃ³,1999,80,183,16,2,107,54,36,17,70,34,35,1,11123824.0,23776.5
16B100505,100505,PÃ³,2009,14,116,21,4,68,39,24,5,60,20,39,1,7255247.0,17377.8
16B100505,100505,PÃ³,2019,12,86,24,5,75,38,27,11,50,24,26,1,6328238.0,17707.8
16B100506,100506,UniÃ£o das freguesias do Bombarral e Vale Covo,1999,291,611,73,52,365,231,77,57,129,49,79,1,4163564.0,2296.6
16B100506,100506,UniÃ£o das freguesias do Bombarral e Vale Covo,2009,79,349,68,45,141,104,25,12,112,27,85,1,7549771.0,5909.5
16B100506,100506,UniÃ£o das freguesias do Bombarral e Vale Covo,2019,31,275,74,44,117,80,25,12,148,60,79,9,6243377.0,5264.2
16B100601,100601,A dos Francos,1999,255,438,34,15,269,159,68,42,96,21,74,1,3217884.0,2845.7
16B100601,100601,A dos Francos,2009,93,319,35,21,167,88,36,43,103,38,65,0,6207627.0,8519.0
16B100601,100601,A dos Francos,2019,34,211,47,26,143,89,40,15,113,62,51,0,7788182.0,8958.0
16B100602,100602,Alvorninha,1999,472,781,88,17,496,249,160,86,121,44,75,2,6203557.0,4947.1
16B100602,100602,Alvorninha,2009,161,528,55,21,274,159,79,37,81,43,38,1,6559412.0,7197.2
16B100602,100602,Alvorninha,2019,75,436,58,20,136,93,35,9,146,96,42,8,10796304.0,10229.5
16B100604,100604,Carvalhal Benfeito,1999,179,398,34,7,201,101,66,35,31,6,24,0,3859303.0,6143.0
16B100604,100604,Carvalhal Benfeito,2009,32,209,21,6,114,68,28,19,11,7,4,0,4478875.0,11121.3
16B100604,100604,Carvalhal Benfeito,2019,38,222,56,19,113,62,27,24,61,23,34,4,4096384.0,8737.6
16B100606,100606,Foz do Arelho,1999,17,35,5,4,18,11,5,2,1,1,1,0,122821.0,1068.5
16B100606,100606,Foz do Arelho,2009,1,10,3,1,5,3,2,0,0,0,0,0,26807.0,1502.6
16B100606,100606,Foz do Arelho,2019,2,15,8,2,3,3,1,0,5,5,0,0,74777.0,1424.0
16B100607,100607,Landal,1999,130,247,33,6,145,72,41,32,69,35,34,0,4749888.0,12148.7
16B100607,100607,Landal,2009,29,117,25,4,64,38,19,7,31,15,16,0,10086938.0,38665.0
16B100607,100607,Landal,2019,14,121,29,15,80,47,23,10,57,43,14,0,7852483.0,28959.9
16B100608,100608,Nadadouro,1999,79,104,9,2,70,39,23,7,1,0,1,0,200604.0,1786.2
16B100608,100608,Nadadouro,2009,16,42,3,1,19,13,4,2,0,0,0,0,148780.0,2360.5
16B100608,100608,Nadadouro,2019,10,33,8,3,18,14,4,1,3,3,0,0,127843.0,1552.6
16B100609,100609,Salir de Matos,1999,354,555,47,10,398,183,117,98,48,13,35,1,3630296.0,4963.5
16B100609,100609,Salir de Matos,2009,103,300,25,5,191,99,74,18,28,8,20,0,3796964.0,7114.8
16B100609,100609,Salir de Matos,2019,50,327,61,34,104,62,33,8,33,15,17,1,2702198.0,4731.6
16B100611,100611,Santa Catarina,1999,247,652,74,27,349,168,118,64,42,16,26,1,4961681.0,6440.1
16B100611,100611,Santa Catarina,2009,60,240,35,20,111,70,33,8,13,4,9,0,2197279.0,6829.6
16B100611,100611,Santa Catarina,2019,37,290,64,31,100,60,27,14,30,14,15,2,2956885.0,5471.7
16B100615,100615,Vidais,1999,205,349,31,12,178,103,48,27,78,22,55,1,3204750.0,4354.6
16B100615,100615,Vidais,2009,38,168,19,14,93,54,24,14,36,9,26,0,3383133.0,7993.6
16B100615,100615,Vidais,2019,35,156,33,33,76,44,17,15,38,24,14,0,3329498.0,5991.5
16B100617,100617,"UniÃ£o das freguesias de Caldas da Rainha - Nossa Senhora do PÃ³pulo, Coto e SÃ£o GregÃ³rio",1999,174,381,43,15,295,147,110,38,72,34,38,1,4153830.0,5177.9
16B100617,100617,"UniÃ£o das freguesias de Caldas da Rainha - Nossa Senhora do PÃ³pulo, Coto e SÃ£o GregÃ³rio",2009,43,210,32,24,105,64,27,15,52,26,26,0,4567534.0,8645.2
16B100617,100617,"UniÃ£o das freguesias de Caldas da Rainha - Nossa Senhora do PÃ³pulo, Coto e SÃ£o GregÃ³rio",2019,30,190,41,49,83,53,17,13,62,50,8,3,4645941.0,6726.1
16B100618,100618,UniÃ£o das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,1999,130,190,18,8,136,80,39,16,27,20,6,1,2079281.0,5493.6
16B100618,100618,UniÃ£o das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,2009,30,84,9,5,40,24,11,5,14,13,0,0,758587.0,5391.5
16B100618,100618,UniÃ£o das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,2019,32,140,30,17,74,47,20,8,69,52,16,1,4327684.0,10042.0
16B100619,100619,UniÃ£o das freguesias de Tornada e Salir do Porto,1999,142,216,26,9,162,99,42,21,40,31,9,1,5386377.0,12334.6
16B100619,100619,UniÃ£o das freguesias de Tornada e Salir do Porto,2009,40,113,15,3,63,37,20,6,55,52,3,0,1963630.0,6281.2
16B100619,100619,UniÃ£o das freguesias de Tornada e Salir do Porto,2019,37,156,46,28,92,52,33,7,89,62,22,5,5435161.0,12436.9
16B101101,101101,FamalicÃ£o,1999,84,246,32,7,124,59,47,18,7,1,6,1,1107070.0,3732.2
16B101101,101101,FamalicÃ£o,2009,53,137,8,15,122,62,51,9,5,0,5,0,1519222.0,5266.8
16B101101,101101,FamalicÃ£o,2019,27,123,32,17,65,39,17,9,17,15,2,0,1434650.0,3883.2
16B101102,101102,NazarÃ©,1999,47,97,10,9,77,38,28,10,5,0,4,0,364805.0,4389.9
16B101102,101102,NazarÃ©,2009,0,14,1,1,10,6,3,1,1,0,1,0,133734.0,6587.9
16B101102,101102,NazarÃ©,2019,2,15,3,6,7,5,2,0,3,3,0,0,233607.0,7074.7
16B101103,101103,Valado dos Frades,1999,121,268,46,20,244,119,87,37,96,43,52,0,4571566.0,6351.5
16B101103,101103,Valado dos Frades,2009,18,173,27,7,137,67,41,29,137,85,49,3,5555159.0,8790.1
16B101103,101103,Valado dos Frades,2019,21,157,21,15,124,61,36,27,128,96,23,10,4269935.0,9014.6
16B101201,101201,A dos Negros,1999,200,372,39,10,267,140,83,44,71,16,53,1,2342000.0,2749.8
16B101201,101201,A dos Negros,2009,76,266,33,15,117,73,31,13,25,6,18,0,3446580.0,5467.8
16B101201,101201,A dos Negros,2019,21,210,59,36,61,48,6,7,36,17,6,13,2887531.0,3798.9
16B101202,101202,Amoreira,1999,61,145,9,4,92,50,27,14,49,30,19,1,5253651.0,13328.7
16B101202,101202,Amoreira,2009,15,81,13,3,54,32,14,8,30,10,20,0,5297273.0,16456.3
16B101202,101202,Amoreira,2019,6,43,8,4,25,14,9,2,18,12,6,0,2053987.0,12723.7
16B101203,101203,Olho Marinho,1999,123,307,33,7,186,99,59,29,55,21,32,2,8253288.0,17261.6
16B101203,101203,Olho Marinho,2009,30,200,18,5,124,70,45,10,30,24,6,0,4849325.0,12188.8
16B101203,101203,Olho Marinho,2019,16,140,28,20,79,45,24,10,47,23,24,1,4639532.0,13741.5
16B101207,101207,Vau,1999,118,191,14,5,154,80,53,22,14,2,11,0,1620274.0,3399.7
16B101207,101207,Vau,2009,7,94,11,9,48,32,16,1,13,0,13,0,1729615.0,5565.4
16B101207,101207,Vau,2019,19,100,24,9,45,26,12,7,11,8,2,0,2422784.0,9236.3
16B101208,101208,Gaeiras,1999,55,135,11,3,79,45,23,11,20,9,10,0,872042.0,3355.9
16B101208,101208,Gaeiras,2009,17,64,7,5,28,15,6,6,22,16,7,0,1183096.0,6019.9
16B101208,101208,Gaeiras,2019,14,39,16,9,17,11,3,2,41,36,5,0,1650695.0,6700.3
16B101209,101209,Usseira,1999,100,199,16,4,122,63,37,22,26,9,17,0,1481078.0,3777.8
16B101209,101209,Usseira,2009,42,148,26,6,76,48,19,10,18,0,17,0,2627357.0,7622.8
16B101209,101209,Usseira,2019,13,75,22,7,44,26,11,7,8,0,8,0,1559040.0,6495.7
16B101210,101210,"Santa Maria, SÃ£o Pedro e Sobral da Lagoa",1999,315,606,50,36,427,198,154,75,96,41,54,1,10012450.0,5883.3
16B101210,101210,"Santa Maria, SÃ£o Pedro e Sobral da Lagoa",2009,107,360,43,22,199,119,57,23,114,58,55,0,11671162.0,12639.3
16B101210,101210,"Santa Maria, SÃ£o Pedro e Sobral da Lagoa",2019,73,295,81,40,135,85,31,18,104,76,20,8,11613997.0,8954.4
16B101402,101402,Atouguia da Baleia,1999,502,1009,91,26,774,398,221,155,207,123,80,4,15746467.0,6474.3
16B101402,101402,Atouguia da Baleia,2009,153,551,56,24,310,179,60,70,134,109,23,2,16167008.0,8213.9
16B101402,101402,Atouguia da Baleia,2019,96,518,93,43,276,172,60,44,231,185,40,7,16772300.0,7975.5
16B101405,101405,Serra d'El-Rei,1999,67,139,14,3,70,45,18,7,12,6,6,0,1074818.0,4117.1
16B101405,101405,Serra d'El-Rei,2009,24,60,8,3,39,29,8,2,6,2,4,0,767862.0,5052.1
16B101405,101405,Serra d'El-Rei,2019,10,87,8,5,59,38,20,1,9,1,8,0,2240040.0,9427.4
16B101406,101406,Ferrel,1999,185,379,18,11,280,154,89,37,50,14,35,2,5560968.0,14210.1
16B101406,101406,Ferrel,2009,32,190,9,11,131,70,44,18,40,22,18,0,4141375.0,13244.8
16B101406,101406,Ferrel,2019,5,131,17,8,90,52,32,6,64,40,23,2,3131986.0,9512.2
16B101407,101407,Peniche,1999,8,6,0,0,5,3,1,2,1,0,0,0,21413.0,446.5
16B101407,101407,Peniche,2009,4,5,0,0,3,2,0,0,0,0,0,0,9247.0,3951.5
16B101407,101407,Peniche,2019,2,9,3,3,4,3,1,0,0,0,0,0,27606.0,619.4
16B110106,110106,Carnota,1999,289,501,63,19,268,128,62,78,38,13,24,1,1782982.0,1743.8
16B110106,110106,Carnota,2009,114,201,30,16,60,35,14,11,10,3,7,1,998618.0,1581.5
16B110106,110106,Carnota,2019,38,190,45,25,86,59,15,12,23,13,10,1,1221897.0,1901.6
16B110107,110107,Meca,1999,240,561,84,20,133,59,22,53,39,16,22,1,959224.0,1667.8
16B110107,110107,Meca,2009,51,175,25,13,52,35,11,6,22,14,8,0,788103.0,1598.3
16B110107,110107,Meca,2019,14,83,17,18,42,27,9,6,27,17,9,1,648352.0,1352.8
16B110108,110108,Olhalvo,1999,90,288,57,16,90,55,14,21,37,13,23,1,534366.0,1254.7
16B110108,110108,Olhalvo,2009,40,153,16,8,42,25,9,9,36,14,21,0,583168.0,1229.5
16B110108,110108,Olhalvo,2019,17,142,21,13,53,34,11,9,39,20,18,0,696932.0,1217.0
16B110109,110109,Ota,1999,79,153,22,11,63,40,13,10,43,24,18,1,741819.0,886.3
16B110109,110109,Ota,2009,20,127,15,8,46,29,9,9,14,10,4,0,2982617.0,4347.2
16B110109,110109,Ota,2019,5,31,7,11,18,11,5,2,55,40,12,2,15081179.0,18723.7
16B110113,110113,Ventosa,1999,289,599,91,37,230,142,41,47,100,31,66,4,1592858.0,1033.5
16B110113,110113,Ventosa,2009,80,334,53,38,137,82,33,22,332,51,280,2,4285054.0,2791.8
16B110113,110113,Ventosa,2019,39,252,61,46,111,73,17,21,112,84,24,5,2485821.0,2498.0
16B110114,110114,Vila Verde dos Francos,1999,330,613,60,25,210,117,48,46,57,10,46,2,1494431.0,1401.9
16B110114,110114,Vila Verde dos Francos,2009,114,326,37,10,119,72,30,17,21,7,13,1,1803350.0,2341.9
16B110114,110114,Vila Verde dos Francos,2019,27,184,40,17,73,47,15,11,44,13,30,1,1407685.0,2086.4
16B110117,110117,UniÃ£o das freguesias de Abrigada e Cabanas de Torres,1999,342,709,53,26,210,123,47,40,74,44,29,2,19186753.0,6002.4
16B110117,110117,UniÃ£o das freguesias de Abrigada e Cabanas de Torres,2009,56,381,61,18,131,80,29,22,103,86,16,1,3085323.0,2577.7
16B110117,110117,UniÃ£o das freguesias de Abrigada e Cabanas de Torres,2019,37,232,55,27,70,46,13,12,34,19,15,1,2175328.0,2936.3
16B110118,110118,UniÃ£o das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,1999,281,619,107,33,186,107,35,43,164,40,122,2,2608849.0,1419.1
16B110118,110118,UniÃ£o das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,2009,81,263,45,33,116,74,26,16,155,112,41,2,3106634.0,1691.8
16B110118,110118,UniÃ£o das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,2019,22,200,45,41,91,64,15,12,368,296,68,4,3366416.0,2059.0
16B110119,110119,UniÃ£o das freguesias de Alenquer (Santo EstÃªvÃ£o e Triana),1999,171,459,79,43,166,86,39,41,102,51,50,2,4226846.0,2459.2
16B110119,110119,UniÃ£o das freguesias de Alenquer (Santo EstÃªvÃ£o e Triana),2009,73,202,34,11,87,56,23,8,53,39,13,0,3403563.0,2062.8
16B110119,110119,UniÃ£o das freguesias de Alenquer (Santo EstÃªvÃ£o e Triana),2019,29,168,51,23,71,48,11,13,102,67,32,4,6902522.0,1748.8
16B110120,110120,UniÃ£o das freguesias de Carregado e Cadafais,1999,111,215,29,22,108,57,24,27,70,25,45,1,3349316.0,2240.9
16B110120,110120,UniÃ£o das freguesias de Carregado e Cadafais,2009,47,128,16,9,63,35,10,17,38,20,17,0,2828595.0,3422.6
16B110120,110120,UniÃ£o das freguesias de Carregado e Cadafais,2019,10,69,29,20,42,28,6,8,58,28,26,3,3427075.0,2229.2
16B110121,110121,UniÃ£o das freguesias de Ribafria e Pereiro de Palhacana,1999,267,409,67,31,153,90,31,32,73,18,53,2,1624784.0,1490.1
16B110121,110121,UniÃ£o das freguesias de Ribafria e Pereiro de Palhacana,2009,104,176,30,26,85,52,22,11,51,16,34,1,1495746.0,1790.6
16B110121,110121,UniÃ£o das freguesias de Ribafria e Pereiro de Palhacana,2019,28,198,62,37,79,51,13,15,93,66,21,6,1629547.0,1747.6
16B110201,110201,ArranhÃ³,1999,183,331,29,5,188,107,57,24,33,20,12,1,3832401.0,3718.0
16B110201,110201,ArranhÃ³,2009,36,166,10,9,48,30,15,3,7,5,2,0,2230842.0,4233.8
16B110201,110201,ArranhÃ³,2019,15,142,28,10,60,36,12,13,18,10,7,1,1594129.0,2363.4
16B110202,110202,Arruda dos Vinhos,1999,295,535,62,49,338,199,96,43,90,32,55,3,2900340.0,1416.1
16B110202,110202,Arruda dos Vinhos,2009,113,425,70,58,230,134,66,30,56,23,32,1,2980346.0,1832.4
16B110202,110202,Arruda dos Vinhos,2019,26,256,48,45,150,106,29,15,73,42,27,5,2970320.0,1234.6
16B110203,110203,Cardosas,1999,46,101,21,2,47,28,12,7,5,1,4,1,379868.0,1596.1
16B110203,110203,Cardosas,2009,34,85,18,11,32,21,7,4,1,0,1,0,336004.0,2262.7
16B110203,110203,Cardosas,2019,5,50,19,16,27,16,7,4,3,1,2,0,217887.0,1390.3
16B110204,110204,Santiago dos Velhos,1999,112,283,28,9,136,68,40,29,11,7,4,1,948672.0,2369.5
