NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
111160133,160133,Sabadim,2009,50,93,8,3,80,38,27,16,2,1,2,0,139995.0,627.7
111160133,160133,Sabadim,2019,13,73,10,3,48,26,19,3,1,0,1,0,154778.0,1054.1
111160142,160142,Jolda (Ṣo Paio),1999,58,104,17,7,83,32,26,25,5,2,3,0,206389.0,2303.5
111160142,160142,Jolda (Ṣo Paio),2009,11,62,14,7,48,22,17,9,5,2,3,0,95462.0,1422.7
111160142,160142,Jolda (Ṣo Paio),2019,4,33,11,10,31,17,10,4,10,8,2,0,128485.0,2473.7
111160144,160144,Senharei,1999,130,99,3,0,88,40,26,22,1,0,0,1,224065.0,842.0
111160144,160144,Senharei,2009,43,86,12,1,98,52,27,20,1,0,0,0,192583.0,799.8
111160144,160144,Senharei,2019,16,59,3,1,43,22,15,7,1,1,0,0,123967.0,1489.6
111160145,160145,Sistelo,1999,186,106,4,0,181,93,54,35,2,0,1,0,443094.0,326.3
111160145,160145,Sistelo,2009,90,96,7,0,116,58,40,18,1,0,0,0,496341.0,180.4
111160145,160145,Sistelo,2019,46,73,10,6,92,51,27,15,2,1,0,1,581940.0,300.9
111160146,160146,Soajo,1999,277,258,22,4,280,154,95,32,4,0,4,0,762554.0,272.0
111160146,160146,Soajo,2009,110,177,10,1,178,99,59,21,3,1,1,0,649546.0,167.8
111160146,160146,Soajo,2019,44,173,42,9,101,61,27,13,11,8,3,1,852847.0,238.8
111160149,160149,Vale,1999,134,179,9,6,158,75,53,30,5,0,4,0,319913.0,905.3
111160149,160149,Vale,2009,116,133,11,11,118,61,44,13,6,3,2,0,373727.0,746.4
111160149,160149,Vale,2019,18,143,25,5,80,41,26,13,2,1,1,0,381719.0,795.5
111160152,160152,Unịo das freguesias de Alvora e Loureda,1999,119,118,15,3,152,77,59,15,5,1,4,0,329543.0,655.9
111160152,160152,Unịo das freguesias de Alvora e Loureda,2009,61,69,6,7,72,42,24,7,2,1,1,0,197082.0,384.7
111160152,160152,Unịo das freguesias de Alvora e Loureda,2019,15,76,14,14,29,11,10,8,1,0,1,0,289041.0,405.0
111160153,160153,Unịo das freguesias de Arcos de Valdevez (Ṣo Paio) e Giela,1999,62,90,15,12,77,36,26,15,16,5,11,0,255187.0,1666.9
111160153,160153,Unịo das freguesias de Arcos de Valdevez (Ṣo Paio) e Giela,2009,33,54,25,14,37,19,12,6,7,4,3,0,220736.0,1673.1
111160153,160153,Unịo das freguesias de Arcos de Valdevez (Ṣo Paio) e Giela,2019,15,32,21,22,34,18,11,6,6,2,4,0,270822.0,2034.7
111160154,160154,"Unịo das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",1999,33,57,6,11,51,23,17,11,18,10,8,0,407952.0,5485.4
111160154,160154,"Unịo das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",2009,29,26,5,3,28,14,10,4,2,1,1,0,63396.0,886.2
111160154,160154,"Unịo das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",2019,26,32,9,5,13,7,4,3,3,1,2,0,130880.0,1476.9
111160155,160155,Unịo das freguesias de Eiras e Mei,1999,113,124,10,2,117,53,36,27,4,1,2,1,240544.0,1049.1
111160155,160155,Unịo das freguesias de Eiras e Mei,2009,39,79,12,3,47,26,16,5,1,0,0,0,123242.0,779.6
111160155,160155,Unịo das freguesias de Eiras e Mei,2019,13,56,10,5,50,25,20,6,1,0,1,0,113808.0,659.3
111160156,160156,Unịo das freguesias de Grade e Carralcova,1999,158,181,5,0,166,84,44,39,8,1,7,0,329487.0,1267.9
111160156,160156,Unịo das freguesias de Grade e Carralcova,2009,102,124,14,3,109,56,36,18,4,1,3,0,267041.0,1639.9
111160156,160156,Unịo das freguesias de Grade e Carralcova,2019,29,120,21,7,66,37,18,11,4,3,1,0,599058.0,939.3
111160157,160157,Unịo das freguesias de Guilhadeses e Santar,1999,45,179,18,10,144,70,46,28,26,4,22,0,239832.0,1884.4
111160157,160157,Unịo das freguesias de Guilhadeses e Santar,2009,46,91,16,9,58,30,19,9,4,1,2,0,185306.0,2004.0
111160157,160157,Unịo das freguesias de Guilhadeses e Santar,2019,32,82,19,13,56,31,16,9,8,3,5,0,336293.0,3093.5
