year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
1999,151107,270117,29002,16067,171492,87104,60464,24029,24605,11149,12707,756,1363463856.0,2767363.0
2009,57171,171772,22869,16123,105956,57120,35724,13196,17915,10065,7335,467,1378347416.0,3962644.0
2019,24533,145739,31352,23352,72397,39963,22549,9985,23842,15334,7236,1236,1786415568.0,4987175.6
