year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
1999,17042,25846,3284,1800,13645,8093,3828,1734,3300,2066,1153,88,171501620.0,141376.4
2009,7105,17564,2588,1950,8927,5319,2391,1230,2508,1717,606,184,121618366.0,125289.8
2019,3357,16943,4028,3194,7134,4342,1649,1152,6583,3757,957,1875,373196277.0,337206.2
