NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
150080607,80607,UniÃ£o das freguesias de EstÃ´mbar e Parchal,2019,5,49,13,14,16,10,4,3,30,23,4,4,881784.0,2928.6
150080608,80608,UniÃ£o das freguesias de Lagoa e Carvoeiro,1999,178,398,68,25,169,114,39,17,54,36,16,1,1835220.0,1866.5
150080608,80608,UniÃ£o das freguesias de Lagoa e Carvoeiro,2009,67,241,61,52,94,56,24,14,73,61,11,1,2270820.0,2642.9
150080608,80608,UniÃ£o das freguesias de Lagoa e Carvoeiro,2019,17,157,56,49,81,45,19,17,82,33,29,19,6008417.0,9149.7
150080703,80703,Luz,1999,104,146,27,17,106,51,34,21,18,9,9,0,724648.0,1801.6
150080703,80703,Luz,2009,18,50,15,5,27,19,3,5,16,12,3,1,694308.0,1259.9
150080703,80703,Luz,2019,3,49,23,13,32,20,6,5,18,9,7,3,476707.0,1510.3
150080704,80704,OdiÃ¡xere,1999,199,365,5,13,168,118,35,15,17,7,9,2,1422128.0,1178.8
150080704,80704,OdiÃ¡xere,2009,62,165,22,15,87,58,24,5,10,8,2,1,669575.0,1290.8
150080704,80704,OdiÃ¡xere,2019,35,173,46,44,89,59,20,11,95,91,3,1,9322099.0,9890.5
150080707,80707,UniÃ£o das freguesias de Bensafrim e BarÃ£o de SÃ£o JoÃ£o,1999,211,278,51,18,204,101,59,45,31,19,12,1,1721956.0,1041.9
150080707,80707,UniÃ£o das freguesias de Bensafrim e BarÃ£o de SÃ£o JoÃ£o,2009,67,194,39,20,85,53,23,9,20,16,3,1,1052101.0,1107.5
150080707,80707,UniÃ£o das freguesias de Bensafrim e BarÃ£o de SÃ£o JoÃ£o,2019,40,242,66,62,135,87,29,19,36,32,3,1,7257806.0,2396.5
150080708,80708,UniÃ£o das freguesias de Lagos (SÃ£o SebastiÃ£o e Santa Maria),1999,140,177,33,20,147,73,49,24,31,22,8,0,1327243.0,1843.8
150080708,80708,UniÃ£o das freguesias de Lagos (SÃ£o SebastiÃ£o e Santa Maria),2009,19,78,7,5,49,29,14,6,5,3,0,2,343651.0,1063.9
150080708,80708,UniÃ£o das freguesias de Lagos (SÃ£o SebastiÃ£o e Santa Maria),2019,4,53,21,13,48,31,10,8,10,6,4,0,887290.0,942.3
150080801,80801,Almancil,1999,221,401,57,33,220,134,64,22,110,81,28,1,2753540.0,3172.6
150080801,80801,Almancil,2009,63,233,47,25,92,59,21,12,97,77,13,7,2307984.0,3339.6
150080801,80801,Almancil,2019,25,217,54,51,44,31,7,6,235,174,16,46,5720246.0,10703.9
150080802,80802,Alte,1999,537,591,71,34,369,206,98,65,25,16,6,3,3055367.0,1296.0
150080802,80802,Alte,2009,250,510,81,69,275,146,70,58,23,11,11,2,2389934.0,1233.4
150080802,80802,Alte,2019,76,527,109,81,151,94,35,22,84,33,40,11,5362758.0,2247.7
150080803,80803,Ameixial,1999,187,332,40,12,258,156,66,37,6,3,2,1,1105395.0,578.1
150080803,80803,Ameixial,2009,123,182,17,12,93,62,24,7,2,1,0,1,566008.0,234.3
150080803,80803,Ameixial,2019,62,199,30,32,81,53,17,12,6,3,2,2,1359190.0,460.2
150080804,80804,Boliqueime,1999,378,692,132,64,284,200,65,19,36,16,19,1,2195232.0,1133.7
150080804,80804,Boliqueime,2009,209,516,93,63,218,139,51,28,18,9,8,1,1719670.0,1114.2
150080804,80804,Boliqueime,2019,51,518,143,109,176,100,39,37,76,28,13,35,3848283.0,2312.9
150080805,80805,Quarteira,1999,79,136,17,13,66,45,18,3,23,20,3,1,1077942.0,1747.4
150080805,80805,Quarteira,2009,35,105,21,14,40,24,11,4,7,6,1,0,458283.0,1635.0
150080805,80805,Quarteira,2019,20,147,51,45,96,50,25,21,65,32,9,24,1871560.0,2187.3
150080807,80807,Salir,1999,421,587,18,35,292,163,80,49,18,1,15,2,1904970.0,771.7
150080807,80807,Salir,2009,291,477,45,50,192,119,48,25,5,2,2,1,1586992.0,752.6
150080807,80807,Salir,2019,182,591,98,98,243,140,69,34,34,4,3,27,2993332.0,1217.7
150080808,80808,LoulÃ© (SÃ£o Clemente),1999,322,574,59,62,223,125,67,32,20,14,6,0,1199489.0,1147.7
150080808,80808,LoulÃ© (SÃ£o Clemente),2009,111,262,43,30,67,41,17,10,6,2,4,0,511097.0,973.6
150080808,80808,LoulÃ© (SÃ£o Clemente),2019,61,218,63,51,54,37,11,6,14,5,2,7,1521078.0,2200.5
150080809,80809,LoulÃ© (SÃ£o SebastiÃ£o),1999,423,756,71,49,395,215,119,62,32,14,16,3,2197115.0,1004.5
150080809,80809,LoulÃ© (SÃ£o SebastiÃ£o),2009,194,559,113,66,228,125,56,47,19,8,10,1,1832361.0,1030.4
150080809,80809,LoulÃ© (SÃ£o SebastiÃ£o),2019,127,675,177,149,171,102,28,41,93,32,42,19,3440791.0,1737.8
150080812,80812,"UniÃ£o de freguesias de QuerenÃ§a, TÃ´r e Benafim",1999,463,775,83,45,414,236,130,49,44,20,21,3,2427446.0,704.3
150080812,80812,"UniÃ£o de freguesias de QuerenÃ§a, TÃ´r e Benafim",2009,220,575,78,70,295,173,75,46,23,18,4,1,1908781.0,731.8
150080812,80812,"UniÃ£o de freguesias de QuerenÃ§a, TÃ´r e Benafim",2019,41,636,124,87,283,163,72,48,90,50,21,19,6133654.0,1519.8
150080901,80901,Alferce,1999,196,203,23,8,139,87,36,16,10,4,7,0,1649243.0,3178.8
150080901,80901,Alferce,2009,47,172,18,14,90,53,28,10,22,19,3,0,1604179.0,2600.3
150080901,80901,Alferce,2019,11,68,13,12,44,34,7,3,16,9,6,1,1742867.0,5263.1
150080902,80902,Marmelete,1999,323,300,21,8,350,194,117,39,22,19,1,1,4890570.0,7927.9
150080902,80902,Marmelete,2009,57,185,13,2,143,79,49,15,17,16,1,0,2397916.0,3018.2
150080902,80902,Marmelete,2019,41,70,3,1,54,30,12,12,6,5,0,1,4428014.0,5513.2
150080903,80903,Monchique,1999,466,486,58,23,424,257,117,50,42,26,16,0,3414945.0,1848.8
150080903,80903,Monchique,2009,157,297,32,16,192,113,56,23,12,8,4,1,1354079.0,1970.5
150080903,80903,Monchique,2019,57,305,71,54,134,103,20,11,30,23,4,3,5061620.0,4111.7
150081003,81003,OlhÃ£o,2009,3,5,1,8,6,3,2,1,0,0,0,0,43840.0,1686.1
150081003,81003,OlhÃ£o,2019,4,22,11,1,5,4,1,0,2,1,1,0,187265.0,3533.3
150081004,81004,PechÃ£o,1999,73,274,36,22,206,109,70,28,175,69,106,0,5621368.0,7526.0
150081004,81004,PechÃ£o,2009,43,163,31,17,89,52,23,14,123,37,80,5,2424735.0,5644.6
150081004,81004,PechÃ£o,2019,22,158,51,26,63,40,15,7,181,102,72,7,3277614.0,9098.2
150081005,81005,Quelfes,1999,179,364,49,30,182,106,56,21,32,23,8,1,1826931.0,2574.1
150081005,81005,Quelfes,2009,67,246,34,16,69,41,22,5,19,14,5,0,924723.0,2578.6
150081005,81005,Quelfes,2019,21,202,60,19,56,36,14,7,106,79,17,11,3823902.0,10032.0
150081006,81006,UniÃ£o das freguesias de Moncarapacho e Fuseta,1999,513,1076,153,96,423,261,105,57,317,268,47,2,6946811.0,2354.7
150081006,81006,UniÃ£o das freguesias de Moncarapacho e Fuseta,2009,238,791,119,114,359,184,97,78,322,248,56,18,5480482.0,3196.4
150081006,81006,UniÃ£o das freguesias de Moncarapacho e Fuseta,2019,137,392,101,85,133,85,30,18,476,333,46,97,20925791.0,12570.9
150081101,81101,Alvor,1999,127,243,6,11,133,78,34,21,20,16,4,0,1366592.0,4055.0
150081101,81101,Alvor,2009,28,119,20,17,70,39,18,13,12,9,3,0,565066.0,4501.1
150081101,81101,Alvor,2019,16,72,23,18,49,28,17,4,16,13,2,1,1238254.0,8661.5
150081102,81102,Mexilhoeira Grande,1999,349,470,40,40,307,186,95,26,70,60,9,2,2784485.0,2288.8
150081102,81102,Mexilhoeira Grande,2009,145,303,39,28,203,119,65,19,33,22,10,1,2633476.0,2105.9
150081102,81102,Mexilhoeira Grande,2019,41,261,47,28,138,91,39,8,56,18,9,30,5479762.0,4127.3
150081103,81103,PortimÃ£o,1999,89,104,15,4,75,46,25,4,28,22,6,0,1217911.0,827.2
150081103,81103,PortimÃ£o,2009,32,56,21,8,53,32,15,6,29,25,4,0,1210077.0,1147.1
150081103,81103,PortimÃ£o,2019,8,88,25,14,54,38,10,6,146,56,10,80,4330465.0,2789.6
150081201,81201,SÃ£o BrÃ¡s de Alportel,1999,338,951,101,46,284,177,74,33,29,12,15,2,1748931.0,937.0
150081201,81201,SÃ£o BrÃ¡s de Alportel,2009,221,596,71,68,195,121,44,30,12,8,3,2,1339339.0,435.8
150081201,81201,SÃ£o BrÃ¡s de Alportel,2019,165,707,146,166,211,125,58,28,40,4,9,27,3410753.0,1373.5
150081303,81303,ArmaÃ§Ã£o de PÃªra,1999,20,55,10,12,20,11,5,5,4,3,1,0,137709.0,1178.7
150081303,81303,ArmaÃ§Ã£o de PÃªra,2009,5,28,8,7,10,7,2,2,0,0,0,0,59012.0,1125.5
150081303,81303,ArmaÃ§Ã£o de PÃªra,2019,1,18,8,10,7,7,0,0,6,5,0,2,374378.0,4067.6
150081305,81305,SÃ£o Bartolomeu de Messines,1999,1137,1550,275,113,800,482,233,85,131,56,69,7,9453628.0,1710.7
150081305,81305,SÃ£o Bartolomeu de Messines,2009,390,1006,130,122,579,348,161,70,96,60,31,4,7802248.0,1959.6
150081305,81305,SÃ£o Bartolomeu de Messines,2019,205,1038,247,158,371,269,57,45,287,106,30,151,23635658.0,5177.6
150081306,81306,SÃ£o Marcos da Serra,1999,313,330,34,9,253,150,63,39,16,12,2,2,2623137.0,1007.4
150081306,81306,SÃ£o Marcos da Serra,2009,145,297,38,14,195,114,50,31,9,7,1,1,1784949.0,771.8
150081306,81306,SÃ£o Marcos da Serra,2019,56,276,76,32,111,100,8,3,12,6,2,4,2298879.0,1214.6
150081307,81307,Silves,1999,817,1138,212,114,938,613,240,86,310,151,157,2,12733481.0,3075.7
150081307,81307,Silves,2009,175,576,112,92,389,256,97,36,252,215,34,3,9816905.0,3038.1
150081307,81307,Silves,2019,125,549,212,142,313,197,60,57,487,225,57,205,24172274.0,5552.6
150081309,81309,UniÃ£o das freguesias de Alcantarilha e PÃªra,1999,202,437,80,30,260,154,78,29,65,33,31,1,3630158.0,2361.0
150081309,81309,UniÃ£o das freguesias de Alcantarilha e PÃªra,2009,82,287,59,28,153,91,40,22,49,37,11,1,3132539.0,2758.8
150081309,81309,UniÃ£o das freguesias de Alcantarilha e PÃªra,2019,33,213,74,44,88,68,13,7,127,68,3,56,7052404.0,5975.7
150081310,81310,UniÃ£o das freguesias de Algoz e Tunes,1999,350,606,82,44,406,224,125,56,48,30,16,2,4723695.0,2694.5
150081310,81310,UniÃ£o das freguesias de Algoz e Tunes,2009,140,382,63,51,183,121,44,19,42,26,14,1,3725577.0,2603.7
150081310,81310,UniÃ£o das freguesias de Algoz e Tunes,2019,66,360,120,73,170,113,32,25,271,95,41,135,11539169.0,5824.8
150081401,81401,Cachopo,1999,484,353,26,14,187,104,51,32,8,2,5,2,1403441.0,566.9
150081401,81401,Cachopo,2009,227,281,17,9,219,128,66,25,4,0,0,3,1175620.0,394.0
150081401,81401,Cachopo,2019,124,337,41,56,147,80,39,28,7,2,3,3,2969214.0,1339.4
150081404,81404,Santa Catarina da Fonte do Bispo,1999,464,582,46,25,226,125,65,36,32,12,17,3,1603112.0,793.7
150081404,81404,Santa Catarina da Fonte do Bispo,2009,301,621,57,64,257,145,66,46,20,8,7,5,1633241.0,732.6
150081404,81404,Santa Catarina da Fonte do Bispo,2019,65,672,110,76,369,194,104,71,43,27,7,9,3886466.0,2545.5
150081408,81408,Santa Luzia,1999,23,51,7,3,26,12,9,5,7,3,4,0,318930.0,1768.0
150081408,81408,Santa Luzia,2009,11,39,0,1,21,13,7,1,3,2,0,0,287601.0,2279.1
150081408,81408,Santa Luzia,2019,5,30,7,6,19,11,7,2,15,5,9,1,613292.0,4089.7
